"Teacher Educational Attainment"
3/17/2022

Year,Level,Division,"Year Percent",Type
"2018 - 2019",DIV,"Petersburg City Public Schools",42,"Master's Degree"
"2018 - 2019",DIV,"Pittsylvania County Public Schools",56,"Bachelor's Degree"
"2018 - 2019",DIV,"Pittsylvania County Public Schools",40,"Master's Degree"
"2018 - 2019",DIV,"Pittsylvania County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Poquoson City Public Schools",40,"Bachelor's Degree"
"2018 - 2019",DIV,"Poquoson City Public Schools",58,"Master's Degree"
"2018 - 2019",DIV,"Poquoson City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Portsmouth City Public Schools",48,"Master's Degree"
"2018 - 2019",DIV,"Portsmouth City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Portsmouth City Public Schools",45,"Bachelor's Degree"
"2018 - 2019",DIV,"Powhatan County Public Schools",42,"Bachelor's Degree"
"2018 - 2019",DIV,"Powhatan County Public Schools",56,"Master's Degree"
"2018 - 2019",DIV,"Powhatan County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Prince Edward County Public Schools",48,"Bachelor's Degree"
"2018 - 2019",DIV,"Prince Edward County Public Schools",46,"Master's Degree"
"2018 - 2019",DIV,"Prince Edward County Public Schools",3,"Doctoral Degree"
"2018 - 2019",DIV,"Prince George County Public Schools",55,"Bachelor's Degree"
"2018 - 2019",DIV,"Prince George County Public Schools",42,"Master's Degree"
"2018 - 2019",DIV,"Prince George County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Prince William County Public Schools",32,"Bachelor's Degree"
"2018 - 2019",DIV,"Prince William County Public Schools",65,"Master's Degree"
"2018 - 2019",DIV,"Prince William County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Pulaski County Public Schools",50,"Bachelor's Degree"
"2018 - 2019",DIV,"Pulaski County Public Schools",45,"Master's Degree"
"2018 - 2019",DIV,"Pulaski County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Radford City Public Schools",58,"Master's Degree"
"2018 - 2019",DIV,"Radford City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Radford City Public Schools",37,"Bachelor's Degree"
"2018 - 2019",DIV,"Rappahannock County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Rappahannock County Public Schools",42,"Bachelor's Degree"
"2018 - 2019",DIV,"Rappahannock County Public Schools",54,"Master's Degree"
"2018 - 2019",DIV,"Richmond City Public Schools",56,"Master's Degree"
"2018 - 2019",DIV,"Richmond City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Richmond City Public Schools",40,"Bachelor's Degree"
"2018 - 2019",DIV,"Richmond County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Richmond County Public Schools",55,"Bachelor's Degree"
"2018 - 2019",DIV,"Richmond County Public Schools",44,"Master's Degree"
"2018 - 2019",DIV,"Roanoke City Public Schools",47,"Master's Degree"
"2018 - 2019",DIV,"Roanoke City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Roanoke City Public Schools",49,"Bachelor's Degree"
"2018 - 2019",DIV,"Roanoke County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Roanoke County Public Schools",36,"Bachelor's Degree"
"2018 - 2019",DIV,"Roanoke County Public Schools",60,"Master's Degree"
"2018 - 2019",DIV,"Rockbridge County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Rockbridge County Public Schools",40,"Bachelor's Degree"
"2018 - 2019",DIV,"Rockbridge County Public Schools",55,"Master's Degree"
"2018 - 2019",DIV,"Rockingham County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Rockingham County Public Schools",46,"Bachelor's Degree"
"2018 - 2019",DIV,"Rockingham County Public Schools",53,"Master's Degree"
"2018 - 2019",DIV,"Russell County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Russell County Public Schools",60,"Bachelor's Degree"
"2018 - 2019",DIV,"Russell County Public Schools",35,"Master's Degree"
"2018 - 2019",DIV,"Salem City Public Schools",35,"Bachelor's Degree"
"2018 - 2019",DIV,"Salem City Public Schools",62,"Master's Degree"
"2018 - 2019",DIV,"Salem City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Scott County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Scott County Public Schools",56,"Bachelor's Degree"
"2018 - 2019",DIV,"Scott County Public Schools",38,"Master's Degree"
"2018 - 2019",DIV,"Shenandoah County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Shenandoah County Public Schools",45,"Bachelor's Degree"
"2018 - 2019",DIV,"Shenandoah County Public Schools",52,"Master's Degree"
"2018 - 2019",DIV,"Smyth County Public Schools",42,"Master's Degree"
"2018 - 2019",DIV,"Smyth County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Smyth County Public Schools",54,"Bachelor's Degree"
"2018 - 2019",DIV,"Southampton County Public Schools",37,"Master's Degree"
"2018 - 2019",DIV,"Southampton County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Southampton County Public Schools",59,"Bachelor's Degree"
"2018 - 2019",DIV,"Spotsylvania County Public Schools",53,"Master's Degree"
"2018 - 2019",DIV,"Spotsylvania County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Spotsylvania County Public Schools",44,"Bachelor's Degree"
"2018 - 2019",DIV,"Stafford County Public Schools",56,"Master's Degree"
"2018 - 2019",DIV,"Stafford County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Stafford County Public Schools",40,"Bachelor's Degree"
"2018 - 2019",DIV,"Staunton City Public Schools",53,"Master's Degree"
"2018 - 2019",DIV,"Staunton City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Staunton City Public Schools",45,"Bachelor's Degree"
"2018 - 2019",DIV,"Suffolk City Public Schools",52,"Master's Degree"
"2018 - 2019",DIV,"Suffolk City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Suffolk City Public Schools",42,"Bachelor's Degree"
"2018 - 2019",DIV,"Surry County Public Schools",64,"Master's Degree"
"2018 - 2019",DIV,"Surry County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Surry County Public Schools",33,"Bachelor's Degree"
"2018 - 2019",DIV,"Sussex County Public Schools",57,"Master's Degree"
"2018 - 2019",DIV,"Sussex County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Sussex County Public Schools",40,"Bachelor's Degree"
"2018 - 2019",DIV,"Tazewell County Public Schools",41,"Master's Degree"
