School Name,State Name [Public School] Latest available year,School Name [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2018-19,Locale [Public School] 2018-19,National School Lunch Program [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
POPLAR TREE ELEM,Virginia,POPLAR TREE ELEM,510126002182,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.31
POWELL ELEM,Virginia,POWELL ELEM,510126002336,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.98
PULLEY CAREER CENTER,Virginia,PULLEY CAREER CENTER,510126002033,Fairfax County,21-Suburb: Large,No,†
QUANDER ROAD SCHOOL,Virginia,QUANDER ROAD SCHOOL,510126000558,Fairfax County,21-Suburb: Large,No,†
RAVENSWORTH ELEM,Virginia,RAVENSWORTH ELEM,510126000559,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.81
RIVERSIDE ELEM,Virginia,RIVERSIDE ELEM,510126000560,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.59
ROBINSON SECONDARY,Virginia,ROBINSON SECONDARY,510126000561,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.11
ROCKY RUN MIDDLE,Virginia,ROCKY RUN MIDDLE,510126001841,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.25
ROLLING VALLEY ELEM,Virginia,ROLLING VALLEY ELEM,510126000562,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.57
ROSE HILL ELEM,Virginia,ROSE HILL ELEM,510126000563,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.68
SANDBURG MIDDLE,Virginia,SANDBURG MIDDLE,510126000474,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.95
SANGSTER ELEM,Virginia,SANGSTER ELEM,510126002119,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.40
SARATOGA ELEM,Virginia,SARATOGA ELEM,510126002144,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.75
SECONDARY HEAD START CENTERS,Virginia,SECONDARY HEAD START CENTERS,510126002408,Fairfax County,21-Suburb: Large,No,†
